upi_id,label
urgent527@paytmm,1
lcttmg@phonepee,1
vec7xonaejmkhm@covwtz,1
9whkr4kj8gc1p@fbl,1
ahkujsh@okaxis,0
402185@goooglepay,1
flipkart@googlepay1,1
grofers@gpay,0
business7@phonepe1,1
swiggy739@okaxis,0
wygi3nol8w7js@hpefz,1
refund927@paytym,1
3wjcergeg8s778@idxsxnc,1
3e7ggajv@mdsxxz,1
oyo@jio,0
swiggy592@gpai,1
refund267@test,1
ola@gpaay,1
orxoxg@paytnn,1
pwzltj473@googlepai,1
31710163@airtel,1
makemytrip@axl,0
zcdlwihz537@amazonpay1,1
vgzn6wbljdvw659@sdwgctk,1
rktplfltydw88@fbl,0
sxbxprsan21@amazonpay,0
epotyv@googlepey,1
amazon209@gpai,1
makemytrip613@ybl,0
5521429@googlepai,1
flipkart@jio,0
flipkart@ibl,0
flipkart_verify@temp,1
grofers@axl,0
1255899@amazonpey,1
bmrvl647@googlepey,1
urgent889@phonepe1,1
j021wttqe@kdsnf,1
jvdtupdap74@amazonpay,0
ola@amazonpay,0
amazonadmin@okicici,1
grofers820@paytm,0
svyqgduoerqz@amazonpay,0
zuyavfa@amazonpey,1
hnmpsqjcr47@paytm,0
zhqvdt82aa@jlzcwvsm,1
dgwyueszoxf33@airtel,0
luxolys@jio,0
zomato@okhdfcbank,0
dealer867@paytam,1
gcelozoiwiqd@phonepe,0
paytm-help@phonpe,1
claim355@gpai,1
cxmjnoqr64@googlepay,0
43979@googlepey,1
grofers@okicici,0
zhibqy0zffjwnwz@uzbdpwbc,1
flipkart@okhdfcbank,0
omferhay852@paytym,1
436544462@paytmm,1
swiggy@jio,0
phonepe-claim@test,1
enterprise847@googlepai,1
bigbasket@googlepay,0
dunzo76@oksbi,0
aytbkxvldhh92@okicici,0
8886629859@phonepay,1
xwakfadt@gpey,1
47118@googlepay1,1
bysbc21@fbl,0
w05nm2njnlb@niyuz,1
q1nzyzfbro1270m@qwddcw,1
uber681@oksbi,0
flipkart@okhdfcbank,0
olsxjfmmd@amazonpay1,1
bigbasket@amazanpay,1
okthcspmln@okaxis,0
nnaz1zi0@dpfrog,1
gpay_help@googlepay1,1
nglixk43@gpay,0
poob97iwsi@fzqkb,1
28862675@phonepe1,1
business@googlepey,1
ihhcndaij28@fbl,0
fuyvexsvb2@phonepe,0
meesho583@airtel,0
13342332@amazonpay,1
gsisqnsht@amazonpey,1
ola@ibl,0
wenov68@axl,0
qonbmk886@gpaay,1
inczpdrwdw@googlepay1,1
flipkart_offer@phonpe,1
airbnb@amazonpay,0
aeufetmrkcgg@oksbi,0
makemytrip@gpay,0
paytm-cashback@airtel,1
dunzo510@okhdfcbank,0
ola@airtel,0
o386yrgxldq68@butlk,1
oyo@okicici,0
hkwsvfyw17@paytam,1
dixmppkyd@okicici,0
bqyapsv83@ybl,0
bookmyshow@ibl,0
uber@paytm,0
swiggy@airtel,0
nqeffzlomyr38@gpay,0
cashback740@phonepe,1
team451@paytym,1
airbnb@okaxis,0
xtyllhtrgdo@axl,0
flipkart@gpay,0
jbogazyhncj86@okaxis,0
oyo@okicici,0
oyo@amazonpay,0
dunzo@okicici,0
coafiugchznf@gpay,0
etvbzgiloe@amazanpay,1
ecmztbgdjwvb81@ybl,0
2898537@paytm,1
prize990@phonpe,1
ntprwf532@phonpe,1
amazon-service@amazonpay1,1
lpbeffv@googlepey,1
srehrby@fbl,0
khipbtzj@paytym,1
customer982@jio,1
dcmmkae49@googlepay,0
amazon@ybl,0
fcuzlf@googlepey,1
rlepvw@okicici,0
nvnatj72@amazonpay,0
ekrhk@paytm,0
oyo@oksbi,0
claim509@okicici,1
uber588@okicici,0
rrwpvtpzqual@airtel,0
7sjzcem1es8jkt@xzwr,1
ystttzvudha@okhdfcbank,0
dunzo@okaxis,0
airbnb@paytym,1
gpay_cashback@googlepai,1
2gocal9wk7cw@xkqfw,1
airbnb81@phonepe,0
dunzo@ybl,0
flipkart-service@ibl,1
tnbmp49@okhdfcbank,0
2780319@ibl,1
pzzbkhuh32@okaxis,0
claim950@paytnn,1
dunzo@axl,0
zneeu@phonepee,1
bnrkqrpznb@gpay,0
419311@gpay,1
bwpkt@gpay,0
06085654@amazonpey,1
grofers@googlepey,1
uber@googlepai,1
gpayhelp@gpey,1
dawslelrmm@paytmm,1
7682900842@gpey,1
reward392@okicici,1
ola@phonepe,0
xztadloudu81@fbl,0
amazon_admin@fbl,1
security19@amazanpay,1
036595586@amazanpay,1
zomato@paytam,1
waoznxlbupgr@amazonpay,0
lqyfxqob987@amazonpay1,1
grofers@okhdfcbank,0
customer29@phonpe,1
flipkart@fbl,0
85715944@gpay,1
bookmyshow@axl,0
hiniqsvzlm@ibl,0
business@goooglepay,1
itvyvnrmmiu@gpay,0
c3zqjxlfh89ze3@aelip,1
phonepehelp@googlepai,1
jcvlstwzmcku@ybl,0
makemytrip@googlepai,1
urgent384@googlepey,1
28052261@googlepay1,1
phonepebonus@fake,1
xyvefv@ibl,0
grauiyfmkeql5@okhdfcbank,0
h0xusnbq8dp@lcjrxo,1
gegepvc115@paytym,1
flipkart@ybl,0
99694983@phonpe,1
store@googlepai,1
oyo@okicici,0
885413@paytm,1
iojhjrjfw366@gpey,1
makemytrip114@ybl,0
38385499@okaxis,1
ola@okicici,0
zomato@airtel,0
airbnb573@jio,0
mfcunhcuad885@googlepey,1
airbnb389@amazonpay1,1
jdx595bvsj6cq@tivkdld,1
dp3djs2sncgs5c@qiqqd,1
swiggy@jio,0
paytm_winner@googlepey,1
qszyxyq@okaxis,0
zomato@axl,0
54ye6tpoalamn@okicici,1
paytm_team@ibl,1
amazon@fbl,0
verify746@paytm,1
qodtretlq52@phonepe,0
mbwxcl@phonepe1,1
swiggy@oksbi,0
flipkartofficial@googlepay,1
374428413@gpai,1
oyo@okaxis,0
myntra@okhdfcbank,0
urgent157@amazonpay,1
flipkart@okicici,0
oyo@okaxis,0
flipkart@gpay,0
uber374@oksbi,0
customer547@gpey,1
phonepeteam@jio,1
xxoqhcxkm@goooglepay,1
qvchwa35@okicici,0
aackda@jio,0
flipkart390@okaxis,0
oyo@jio,0
912462@amazanpay,1
3i5q86m25o99@hitvqbfh,1
320148@paytnn,1
807298@googlepay1,1
support349@phonpe,1
phonepe-security@okicici,1
00595@googlepey,1
myntra@amazonpay,0
vyaqaimvc14@okicici,0
wbjsnabio@goooglepay,1
2889048@ibl,1
urgent334@axl,1
meesho@amazonpay,0
winner751@gpey,1
vzqfahhvm@phonepay,1
xqcxhefh59@fbl,0
swiggy555@amazanpay,1
33196@paytym,1
gpay-cashback@fake,1
urgent80@googlepay1,1
flipkart-bonus@googlepay,1
bigbasket@phonepe,0
uber783@ibl,0
help135@phonepe1,1
bigbasket@paytm,0
zdnkftvdjqfz@ibl,0
040113@gpaay,1
gpay-claim@paytym,1
fskmnvqghh@googlepay1,1
wi02p81p3g2@airtel,1
kuqtnpjirhgn@gpay,0
refund466@phonepe,1
eskfwh3reao0@oksbi,1
bookmyshow@okhdfcbank,0
5047770727@gpai,1
bigbasket@amazonpay,0
dmfqylfhc@paytam,1
ijzygxycypx@airtel,0
laqcvlpae@phonepe,0
ola109@okaxis,0
9j003hf9dk403w@kakmnar,1
prize977@googlepey,1
airbnb@amazonpay,0
jlehuqbouv@oksbi,0
myntra@okaxis,0
bookmyshow@airtel,0
fjmykdu@gpay,0
gq4m5dvl03@neeavi,1
rlsiebd@gpay,0
security572@test,1
weiyzhgljune@paytm,0
omoqlfhucfly39@okaxis,0
meesho@okaxis,0
ganhvpck85@airtel,0
seller81@phonepay,1
6922609160@temp,1
grofers@jio,0
amazonwinner@test,1
team740@amazanpay,1
kjmlkhtxrznt58@okaxis,0
amazonclaim@googlepay1,1
172178398@phonepee,1
meesho412@okhdfcbank,0
uber@phonepee,1
uber@oksbi,0
myntra@fbl,0
uber@okicici,0
bookmyshow@paytam,1
paytmservice@paytym,1
prize647@paytym,1
service786@axl,1
lwincwuymn@googlepai,1
bjs1d0ef@ybl,1
makemytrip@fbl,0
nvn61m2ly4r@qyagjuqk,1
98506778@unknown,1
ljwooq@axl,0
edypqyhokpf95@okaxis,0
2038493@gpey,1
bookmyshow326@gpey,1
441087294@amazonpay1,1
wgftvrqy6@ibl,0
security479@fake,1
kidtvcdt944@phonepe1,1
4ie1mifimf7wbf@zdcidzdw,1
grofers@phonepay,1
h2qyznel0o@obebw,1
9725176@gpaay,1
flipkart-support@paytam,1
meesho@ibl,0
phonepe_claim@amazonpey,1
toetcv0hgvo1@okhdfcbank,1
uber805@ybl,0
57776@airtel,1
dunzo329@okhdfcbank,0
bookmyshow@amazonpay,0
46280@amazonpay1,1
rdjsapt@phonepe,0
tjrxnxs@ibl,0
ola@airtel,0
110281833@amazonpey,1
amazonprize@paytnn,1
fca0dnvu3wqps@dkejf,1
oumgsybkts67@oksbi,0
service570@paytnn,1
prize414@paytnn,1
shop@gpey,1
makemytrip@fbl,0
phonepeofficial@amazonpay,1
help267@ibl,1
swiggy183@okaxis,0
4342024334@oksbi,1
amazon@amazanpay,1
gywtsgatkr31@phonepay,1
xi9s9th2v4hd4d@nyxca,1
lca49yevqhjzuk@lbtb,1
verify970@googlepai,1
services@amazonpey,1
shop@paytym,1
oyo8@okhdfcbank,0
ola@googlepay,0
djbmbeuvnwqv@paytm,0
0525195319@paytym,1
dunzo@axl,0
4369464083@fbl,1
izxwejmr@jio,0
urgent832@temp,1
bookmyshow@okicici,0
485335023@paytnn,1
oyo@okaxis,0
swiggy913@phonepe,0
ola@okhdfcbank,0
refund593@gpai,1
swiggy@amazanpay,1
uaufe93@axl,0
grofers@googlepay1,1
jjuiei@okicici,0
zmmuc355ydb46u@opxooex,1
859715560@axl,1
meesho73@axl,0
m25h4hmzt92ag@fbl,1
xykxdxlye@axl,0
idmotjn826@googlepai,1
grofers@fbl,0
flipkart279@phonepe,0
whnab369@googlepai,1
pxdbe@phonepe,0
flipkart@okaxis,0
airbnb@okhdfcbank,0
fxkzqie25@jio,0
jyklvsz@okaxis,0
zomato62@fbl,0
meesho@paytym,1
swiggy@axl,0
myntra@amazonpay,0
eda85bhxlxv@ijsbpo,1
zmdwdkpos@jio,0
fbwquvhkg@amazonpay1,1
z8qn3md6s@fkgobc,1
uknhccdx66@ybl,0
15748@amazanpay,1
zzkqyz@oksbi,0
prize881@amazonpay1,1
grofers@amazonpey,1
company507@goooglepay,1
phonepe_refund@okhdfcbank,1
dunzo@phonepe,0
security26@gpay,1
vsjjsrlfqgj74@ibl,0
atlqx2@googlepay,0
oppgrf0k1ewsnv3@okhdfcbank,1
airbnb@airtel,0
bookmyshow653@airtel,0
flipkart@okhdfcbank,0
cashback194@airtel,1
grofers@amazonpay,0
4979656326@googlepay,1
90557758@amazonpay,1
security793@amazonpay,1
1dw4wsu2lfp0qd@atwui,1
ovijcqeki@airtel,0
rehok@googlepay1,1
dunzo188@okaxis,0
gitjro98@phonpe,1
merchant734@paytym,1
zomato564@paytm,0
amazon-support@googlepey,1
oyo@ybl,0
56023615@ibl,1
vendor@amazonpey,1
amazonservice@googlepay,1
cfqhmyqzb484@amazanpay,1
support53@airtel,1
paytmbonus@amazonpay1,1
umsliwfxejo39@oksbi,0
official961@phonpe,1
amazon_prize@okhdfcbank,1
0051656@fbl,1
6zxs8b8q@oksbi,1
services@amazonpey,1
zomato@okhdfcbank,0
772352@paytm,1
bookmyshow@paytm,0
j6sjx5t4p3z@dbkvcvl,1
myntra227@okicici,0
pmoit@gpay,0
kormdt@axl,0
vckprcdj@gpey,1
myntra294@amazonpay,0
uber@phonepe,0
flipkart_service@ibl,1
flipkart@jio,0
flipkart@fbl,0
dunzo@paytm,0
6ubdudt607apm@elngzzm,1
mfjxud@ibl,0
airbnb89@googlepay1,1
ilyymbpp@ybl,0
pufzy66@ybl,0
offer195@phonepe1,1
makemytrip537@okhdfcbank,0
bookmyshow@jio,0
mt24k4zbj@aygcfpd,1
phonepe-bonus@phonpe,1
uber@gpaay,1
urgent660@oksbi,1
zdazdjpmx@googlepay1,1
amazonurgent@paytym,1
ola@googlepai,1
pysrq22@paytm,0
ns2d4hnxe3h@okhdfcbank,1
dbyxhsx63@gpai,1
dunzo@oksbi,0
tctgnnpotac@okicici,0
bookmyshow@gpey,1
mdgjpck@okhdfcbank,0
pjqddkkaszkz@okaxis,0
flipkart587@okicici,0
wrujmqkdkro@amazonpay,0
fanompyp775@amazonpay1,1
80084@gpaay,1
fzffhe13@oksbi,0
amazon504@amazonpay,0
ezyoqljkjf27@airtel,0
swiggy@jio,0
bookmyshow@axl,0
rjluznlqfn@phonepe1,1
tqunzeb47@okhdfcbank,0
idpbb@jio,0
flipkart@paytym,1
dunzo379@paytm,0
b5gr78nwz1yq1@elej,1
gkmmrbdfwj@ybl,0
67155@googlepey,1
hnfkzk@okicici,0
welzbqzj22@paytnn,1
bigbasket655@gpay,0
airbnb@googlepay1,1
nmhgjb23@okicici,0
67800@phonepe1,1
qydsfvdgea67@phonepay,1
swiggy355@phonepe,0
5514738@airtel,1
2ocgmssp25@gjtr,1
yigdpktyeqg54@okaxis,0
business@amazonpey,1
dzjaakp984@amazonpey,1
makemytrip@axl,0
jgjvqxryk@paytm,0
rtqawwt@googlepay,0
flipkart@airtel,0
00z8r1b522xpyh@zrmb,1
oa2aipzb@olydv,1
security810@gpai,1
zowne81@fbl,0
zomato741@phonepe,0
